"Statistic","University League Table 2008 to 2027"
"Variable","Year,Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Graduate Prospects - Outcomes,Graduate Prospects On Track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Continuation,Overall Score"
"University name","Institution names show the name at the time of the most recent league table to aid comparison with historic data. Some may have entered the subject tables when they were university colleges. Where institutions merged, the historic institution names are  used up until the year before the merger"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2026 Complete University Guide Limited. All rights reserved."
""
"Year","Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate Prospects","Graduate Prospects - Outcomes","Graduate Prospects On Track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Good Honours","Degree Completion","Continuation","Overall Score"
"2008","1","University of Cambridge","530","16.60","6.60","","88.0","","","12.2","1576","574","84.5","97.9","","1000"
"2008","2","University of Oxford","522","16.40","6.50","","78.5","","","13.0","2220","370","89.4","98.4","","987"
"2008","3","Imperial College London","453","14.70","6.40","","86.3","","","9.7","2551","479","72.4","94.8","","898"
"2008","4","London School of Economics and Political Science, University of London","471","15.30","6.40","","83.0","","","13.2","1210","211","74.6","95.9","","822"
"2008","5","University of St Andrews","458","16.70","5.70","","72.9","","","15.4","818","208","79.7","92.6","","797"
"2008","6","UCL (University College London)","429","15.30","6.00","","79.8","","","9.4","1435","179","72.5","93.4","","774"
"2008","7","University of Bristol","440","15.30","5.70","","76.0","","","14.9","1199","279","81.3","95.6","","764"
"2008","8","University of Warwick","453","","6.00","","73.0","","","17.1","1472","233","79.3","96.4","","761"
"2008","9","University of Bath","443","14.90","5.70","","78.9","","","16.7","804","411","76.8","95.3","","753"
"2008","10","Durham University","452","15.50","5.70","","75.7","","","20.3","892","331","75.4","95.8","","750"
"2008","11","Loughborough University","368","16.10","5.10","","69.7","","","17.6","783","416","63.8","90.4","","747"
"2008","12","Aston University, Birmingham","346","14.90","5.00","","76.8","","","14.6","1221","395","64.3","89.6","","726"
"2008","13","Royal Holloway, University of London","356","15.50","5.70","","61.5","","","13.9","792","346","71.3","92.9","","723"
"2008","14","University of York","436","15.50","5.80","","64.4","","","15.0","1015","199","71.0","94.6","","719"
"2008","14","University of Nottingham","431","14.90","5.30","","70.4","","","15.6","980","364","74.5","95.7","","719"
"2008","16","The University of Edinburgh","458","14.90","5.60","","76.6","","","14.5","999","233","77.8","91.6","","716"
"2008","17","University of Exeter","387","15.60","5.20","","65.8","","","16.8","723","254","74.6","95.8","","702"
"2008","17","King's College London, University of London","399","15.20","5.50","","79.8","","","12.4","1350","180","67.2","91.9","","702"
